text_model,ds_name,method,feature_name,feature_importance
disbert,kick,ensemble_75,(Tab) country,0.003916819578621416
disbert,kick,ensemble_75,(Tab) currency,0.0020266829109396316
disbert,kick,ensemble_75,(Tab) deadline,0.009975271795426614
disbert,kick,ensemble_75,(Tab) created_at,0.02233598531453553
disbert,kick,ensemble_75,(Text) name,0.10579036388771008
disbert,kick,ensemble_75,(Text) desc,0.1461984003972003
disbert,kick,ensemble_75,(Text) keywords,0.07518935959917145
disbert,kick,stack,(Tab) goal,0.14004430981398194
disbert,kick,stack,(Tab) disable_communication,0.0005302418169036567
disbert,kick,stack,(Tab) country,0.019220510971257425
disbert,kick,stack,(Tab) currency,0.00576809148060934
disbert,kick,stack,(Tab) deadline,0.048343162669398906
disbert,kick,stack,(Tab) created_at,0.08931027476526639
disbert,kick,stack,(Text) name,0.11057072624262396
disbert,kick,stack,(Text) desc,0.16044383465978374
disbert,kick,stack,(Text) keywords,0.09778595890918522
disbert,kick,all_text,(Tab) goal,0.1445761688752022
disbert,kick,all_text,(Tab) disable_communication,0.00020373010510423548
disbert,kick,all_text,(Tab) country,0.00515387673974813
disbert,kick,all_text,(Tab) currency,0.017746751668614648
disbert,kick,all_text,(Tab) deadline,0.055170277061077175
disbert,kick,all_text,(Tab) created_at,0.05532937761392047
disbert,kick,all_text,(Text) name,0.09515400488387671
disbert,kick,all_text,(Text) desc,0.17425891329906598
disbert,kick,all_text,(Text) keywords,0.06285224717749777
disbert,kick,all_text_baseline,(Tab) goal,0.1121303013020801
disbert,kick,all_text_baseline,(Tab) disable_communication,0.011696186768873849
disbert,kick,all_text_baseline,(Tab) country,0.007926049786341509
disbert,kick,all_text_baseline,(Tab) currency,0.009067863043516408
disbert,kick,all_text_baseline,(Tab) deadline,0.03710880340203728
disbert,kick,all_text_baseline,(Tab) created_at,0.04155968198236708
disbert,kick,all_text_baseline,(Text) name,0.08611072486699203
disbert,kick,all_text_baseline,(Text) desc,0.16082621754595064
disbert,kick,all_text_baseline,(Text) keywords,0.03179825037343655
disbert,jigsaw,ensemble_25,(Tab) asian,6.227539464408713e-05
disbert,jigsaw,ensemble_25,(Tab) atheist,8.973926457323939e-06
disbert,jigsaw,ensemble_25,(Tab) bisexual,0.00019710420842623038
disbert,jigsaw,ensemble_25,(Tab) black,4.8799030705688216e-06
disbert,jigsaw,ensemble_25,(Tab) buddhist,3.4033469323574135e-05
disbert,jigsaw,ensemble_25,(Tab) christian,0.0001781302779531234
disbert,jigsaw,ensemble_25,(Tab) female,0.00012010473700883521
disbert,jigsaw,ensemble_25,(Tab) heterosexual,7.513220315649736e-05
disbert,jigsaw,ensemble_25,(Tab) hindu,3.4033469323574135e-05
disbert,jigsaw,ensemble_25,(Tab) homosexual_gay_or_lesbian,0.00019710420842623038
disbert,jigsaw,ensemble_25,(Tab) intellectual_or_learning_disability,1.59802204652801e-05
disbert,jigsaw,ensemble_25,(Tab) jewish,0.0001004570635318881
disbert,jigsaw,ensemble_25,(Tab) latino,3.4114306223164426e-05
disbert,jigsaw,ensemble_25,(Tab) male,0.00012473030445686443
disbert,jigsaw,ensemble_25,(Tab) muslim,0.0001004570635318881
disbert,jigsaw,ensemble_25,(Tab) other_disability,1.59802204652801e-05
disbert,jigsaw,ensemble_25,(Tab) other_gender,1.8258660456899363e-05
disbert,jigsaw,ensemble_25,(Tab) other_race_or_ethnicity,6.227539464408713e-05
disbert,jigsaw,ensemble_25,(Tab) other_religion,0.00016007998793718273
disbert,jigsaw,ensemble_25,(Tab) other_sexual_orientation,0.00019710420842623038
disbert,jigsaw,ensemble_25,(Tab) physical_disability,1.59802204652801e-05
disbert,jigsaw,ensemble_25,(Tab) psychiatric_or_mental_illness,1.59802204652801e-05
disbert,jigsaw,ensemble_25,(Tab) transgender,0.00019710420842623038
disbert,jigsaw,ensemble_25,(Tab) white,4.8799030705688216e-06
disbert,jigsaw,ensemble_25,(Tab) funny,0.0016495323973284549
disbert,jigsaw,ensemble_25,(Tab) wow,0.00040877150786318683
disbert,jigsaw,ensemble_25,(Tab) sad,0.0009462962184021483
disbert,jigsaw,ensemble_25,(Tab) likes,0.010366965658055899
disbert,jigsaw,ensemble_25,(Tab) disagree,0.0022645591403467054
disbert,jigsaw,ensemble_25,(Text) comment_text,0.0264867202169262
disbert,jigsaw,ensemble_50,(Tab) asian,4.301562908735082e-05
disbert,jigsaw,ensemble_50,(Tab) atheist,1.4425222794805748e-05
disbert,jigsaw,ensemble_50,(Tab) bisexual,0.00011030052150251955
disbert,jigsaw,ensemble_50,(Tab) black,1.3831138490565478e-05
disbert,jigsaw,ensemble_50,(Tab) buddhist,3.900097734549036e-05
disbert,jigsaw,ensemble_50,(Tab) christian,9.976275918722837e-05
disbert,jigsaw,ensemble_50,(Tab) female,7.973638271928845e-05
disbert,jigsaw,ensemble_50,(Tab) heterosexual,8.467343988853098e-05
disbert,jigsaw,ensemble_50,(Tab) hindu,3.900097734549036e-05
disbert,jigsaw,ensemble_50,(Tab) homosexual_gay_or_lesbian,0.00011030052150251955
disbert,jigsaw,ensemble_50,(Tab) intellectual_or_learning_disability,1.577641766320152e-05
disbert,jigsaw,ensemble_50,(Tab) jewish,6.878992879234201e-05
disbert,jigsaw,ensemble_50,(Tab) latino,4.534227604167329e-05
disbert,jigsaw,ensemble_50,(Tab) male,8.033615342418476e-05
disbert,jigsaw,ensemble_50,(Tab) muslim,6.878992879234201e-05
disbert,jigsaw,ensemble_50,(Tab) other_disability,1.577641766320152e-05
disbert,jigsaw,ensemble_50,(Tab) other_gender,2.184577239535066e-05
disbert,jigsaw,ensemble_50,(Tab) other_race_or_ethnicity,4.301562908735082e-05
disbert,jigsaw,ensemble_50,(Tab) other_religion,9.976275918722837e-05
disbert,jigsaw,ensemble_50,(Tab) other_sexual_orientation,0.00011030052150251955
disbert,jigsaw,ensemble_50,(Tab) physical_disability,1.577641766320152e-05
disbert,jigsaw,ensemble_50,(Tab) psychiatric_or_mental_illness,1.577641766320152e-05
disbert,jigsaw,ensemble_50,(Tab) transgender,0.00011030052150251955
disbert,jigsaw,ensemble_50,(Tab) white,1.3831138490565478e-05
disbert,jigsaw,ensemble_50,(Tab) funny,0.0010998912176781374
disbert,jigsaw,ensemble_50,(Tab) wow,0.0003137500760450187
disbert,jigsaw,ensemble_50,(Tab) sad,0.0007212137228131111
disbert,jigsaw,ensemble_50,(Tab) likes,0.006466058484414727
disbert,jigsaw,ensemble_50,(Tab) disagree,0.0012704684454229011
disbert,jigsaw,ensemble_50,(Text) comment_text,0.052973440433852374
disbert,jigsaw,ensemble_75,(Tab) asian,2.1205738183036966e-05
disbert,jigsaw,ensemble_75,(Tab) atheist,1.4846127797963633e-05
disbert,jigsaw,ensemble_75,(Tab) bisexual,4.523659493177571e-05
disbert,jigsaw,ensemble_75,(Tab) black,1.5850551266437415e-05
disbert,jigsaw,ensemble_75,(Tab) buddhist,2.4677565900489115e-05
disbert,jigsaw,ensemble_75,(Tab) christian,4.128416773710041e-05
disbert,jigsaw,ensemble_75,(Tab) female,5.083043093770088e-05
disbert,jigsaw,ensemble_75,(Tab) heterosexual,4.2270343181247715e-05
disbert,jigsaw,ensemble_75,(Tab) hindu,2.4677565900489115e-05
disbert,jigsaw,ensemble_75,(Tab) homosexual_gay_or_lesbian,4.523659493177571e-05
disbert,jigsaw,ensemble_75,(Tab) intellectual_or_learning_disability,1.3316672794559874e-05
disbert,jigsaw,ensemble_75,(Tab) jewish,3.84054259534436e-05
disbert,jigsaw,ensemble_75,(Tab) latino,2.1658592147633205e-05
disbert,jigsaw,ensemble_75,(Tab) male,5.083043093770088e-05
disbert,jigsaw,ensemble_75,(Tab) muslim,3.84054259534436e-05
disbert,jigsaw,ensemble_75,(Tab) other_disability,1.3316672794559874e-05
disbert,jigsaw,ensemble_75,(Tab) other_gender,1.9040142118577388e-05
disbert,jigsaw,ensemble_75,(Tab) other_race_or_ethnicity,2.1205738183036966e-05
disbert,jigsaw,ensemble_75,(Tab) other_religion,4.128416773710041e-05
disbert,jigsaw,ensemble_75,(Tab) other_sexual_orientation,4.523659493177571e-05
disbert,jigsaw,ensemble_75,(Tab) physical_disability,1.3316672794559874e-05
disbert,jigsaw,ensemble_75,(Tab) psychiatric_or_mental_illness,1.3316672794559874e-05
disbert,jigsaw,ensemble_75,(Tab) transgender,4.523659493177571e-05
disbert,jigsaw,ensemble_75,(Tab) white,1.5850551266437415e-05
disbert,jigsaw,ensemble_75,(Tab) funny,0.000506243522781974
disbert,jigsaw,ensemble_75,(Tab) wow,0.0001662631285998124
disbert,jigsaw,ensemble_75,(Tab) sad,0.0004911048827656725
disbert,jigsaw,ensemble_75,(Tab) likes,0.0028744291744908323
disbert,jigsaw,ensemble_75,(Tab) disagree,0.0005407609717881312
disbert,jigsaw,ensemble_75,(Text) comment_text,0.07946016065077856
disbert,jigsaw,stack,(Tab) asian,3.754756488527148e-05
disbert,jigsaw,stack,(Tab) atheist,8.286046897297323e-06
disbert,jigsaw,stack,(Tab) bisexual,2.3432166195824442e-05
disbert,jigsaw,stack,(Tab) black,6.713126530663021e-06
disbert,jigsaw,stack,(Tab) buddhist,2.3331778870789815e-05
disbert,jigsaw,stack,(Tab) christian,3.608952200661644e-05
disbert,jigsaw,stack,(Tab) female,0.00011721866290387826
disbert,jigsaw,stack,(Tab) heterosexual,2.2035205166558156e-05
disbert,jigsaw,stack,(Tab) hindu,2.3331778870789815e-05
disbert,jigsaw,stack,(Tab) homosexual_gay_or_lesbian,2.3432166195824442e-05
disbert,jigsaw,stack,(Tab) intellectual_or_learning_disability,8.422952294292264e-06
disbert,jigsaw,stack,(Tab) jewish,2.912696029114883e-05
disbert,jigsaw,stack,(Tab) latino,4.266513178642058e-05
disbert,jigsaw,stack,(Tab) male,7.159149830369833e-05
disbert,jigsaw,stack,(Tab) muslim,2.912696029114883e-05
disbert,jigsaw,stack,(Tab) other_disability,8.422952294292264e-06
disbert,jigsaw,stack,(Tab) other_gender,1.0617963713435939e-05
disbert,jigsaw,stack,(Tab) other_race_or_ethnicity,7.568131561275678e-05
disbert,jigsaw,stack,(Tab) other_religion,3.608952200661644e-05
disbert,jigsaw,stack,(Tab) other_sexual_orientation,2.1873195871024365e-05
disbert,jigsaw,stack,(Tab) physical_disability,8.422952294292264e-06
disbert,jigsaw,stack,(Tab) psychiatric_or_mental_illness,8.422952294292264e-06
disbert,jigsaw,stack,(Tab) transgender,2.3432166195824442e-05
disbert,jigsaw,stack,(Tab) white,6.713126530663021e-06
disbert,jigsaw,stack,(Tab) funny,0.005039635572392905
disbert,jigsaw,stack,(Tab) wow,0.0014509937706550175
disbert,jigsaw,stack,(Tab) sad,0.0034469017453480546
disbert,jigsaw,stack,(Tab) likes,0.01716054973199701
disbert,jigsaw,stack,(Tab) disagree,0.012229729958542523
disbert,jigsaw,stack,(Text) comment_text,0.0964193302847515
disbert,jigsaw,all_text,(Tab) asian,6.571316884438429e-05
disbert,jigsaw,all_text,(Tab) atheist,0.0002703804573953921
disbert,jigsaw,all_text,(Tab) bisexual,5.942198801700987e-05
disbert,jigsaw,all_text,(Tab) black,7.642649462024114e-05
disbert,jigsaw,all_text,(Tab) buddhist,0.00012341224192626807
disbert,jigsaw,all_text,(Tab) christian,9.897797632736856e-05
disbert,jigsaw,all_text,(Tab) female,7.065842957518087e-05
disbert,jigsaw,all_text,(Tab) heterosexual,7.6078679504173e-05
disbert,jigsaw,all_text,(Tab) hindu,0.00012327181184795027
disbert,jigsaw,all_text,(Tab) homosexual_gay_or_lesbian,5.942198801700987e-05
disbert,jigsaw,all_text,(Tab) intellectual_or_learning_disability,6.350988492906335e-05
disbert,jigsaw,all_text,(Tab) jewish,9.855851853338794e-05
disbert,jigsaw,all_text,(Tab) latino,8.880827020193595e-05
disbert,jigsaw,all_text,(Tab) male,7.319078884433664e-05
disbert,jigsaw,all_text,(Tab) muslim,9.852644550941157e-05
disbert,jigsaw,all_text,(Tab) other_disability,6.397700172639899e-05
disbert,jigsaw,all_text,(Tab) other_gender,0.0001255266572472243
disbert,jigsaw,all_text,(Tab) other_race_or_ethnicity,6.635481500671462e-05
disbert,jigsaw,all_text,(Tab) other_religion,9.890948631898883e-05
disbert,jigsaw,all_text,(Tab) other_sexual_orientation,7.031865410400927e-05
disbert,jigsaw,all_text,(Tab) physical_disability,6.477224386073512e-05
disbert,jigsaw,all_text,(Tab) psychiatric_or_mental_illness,6.556304653006097e-05
disbert,jigsaw,all_text,(Tab) transgender,5.942198801700987e-05
disbert,jigsaw,all_text,(Tab) white,6.631856834093448e-05
disbert,jigsaw,all_text,(Tab) funny,2.942185916531389e-05
disbert,jigsaw,all_text,(Tab) wow,2.0669890412497157e-05
disbert,jigsaw,all_text,(Tab) sad,3.957660727873573e-05
disbert,jigsaw,all_text,(Tab) likes,4.542897942128005e-05
disbert,jigsaw,all_text,(Tab) disagree,4.0732179248602014e-05
disbert,jigsaw,all_text,(Text) comment_text,0.09206064407399099
disbert,jigsaw,all_text_baseline,(Tab) asian,0.00030626875075835143
disbert,jigsaw,all_text_baseline,(Tab) atheist,0.0004109821976586861
disbert,jigsaw,all_text_baseline,(Tab) bisexual,0.0003613666150203965
disbert,jigsaw,all_text_baseline,(Tab) black,0.0003645459280419065
disbert,jigsaw,all_text_baseline,(Tab) buddhist,0.0009447501014281751
disbert,jigsaw,all_text_baseline,(Tab) christian,0.000859759108284965
disbert,jigsaw,all_text_baseline,(Tab) female,0.0006342923895289137
disbert,jigsaw,all_text_baseline,(Tab) heterosexual,0.0006408125584105391
disbert,jigsaw,all_text_baseline,(Tab) hindu,0.0006313922583841557
disbert,jigsaw,all_text_baseline,(Tab) homosexual_gay_or_lesbian,0.0014132206595663464
disbert,jigsaw,all_text_baseline,(Tab) intellectual_or_learning_disability,0.0015751085870937302
disbert,jigsaw,all_text_baseline,(Tab) jewish,0.00065515283534298
disbert,jigsaw,all_text_baseline,(Tab) latino,0.0006918727652647385
disbert,jigsaw,all_text_baseline,(Tab) male,0.0007742324529627291
disbert,jigsaw,all_text_baseline,(Tab) muslim,0.0009303832306736303
disbert,jigsaw,all_text_baseline,(Tab) other_disability,0.0014923831966625434
disbert,jigsaw,all_text_baseline,(Tab) other_gender,0.0013341688558963355
disbert,jigsaw,all_text_baseline,(Tab) other_race_or_ethnicity,0.002694268323466601
disbert,jigsaw,all_text_baseline,(Tab) other_religion,0.0016641205816933908
disbert,jigsaw,all_text_baseline,(Tab) other_sexual_orientation,0.0022721175941431766
disbert,jigsaw,all_text_baseline,(Tab) physical_disability,0.0015640423027446545
disbert,jigsaw,all_text_baseline,(Tab) psychiatric_or_mental_illness,0.0019968596210168457
disbert,jigsaw,all_text_baseline,(Tab) transgender,0.0008480762277845857
disbert,jigsaw,all_text_baseline,(Tab) white,0.0010409261456276516
disbert,jigsaw,all_text_baseline,(Tab) funny,0.001096575156015728
disbert,jigsaw,all_text_baseline,(Tab) wow,0.0008277255091250958
disbert,jigsaw,all_text_baseline,(Tab) sad,0.0006963749434423685
disbert,jigsaw,all_text_baseline,(Tab) likes,0.0006135954095983774
disbert,jigsaw,all_text_baseline,(Tab) disagree,0.0008525114203316305
disbert,jigsaw,all_text_baseline,(Text) comment_text,0.08107895704812576
disbert,wine,ensemble_25,(Tab) points,0.19163641056206412
disbert,wine,ensemble_25,(Tab) price,0.3208041012100783
disbert,wine,ensemble_25,(Text) country,0.07326238989784006
disbert,wine,ensemble_25,(Text) description,0.31116308069132226
disbert,wine,ensemble_25,(Text) province,0.20244820594613003
disbert,wine,ensemble_50,(Tab) points,0.12775760704137606
disbert,wine,ensemble_50,(Tab) price,0.21386940080671896
disbert,wine,ensemble_50,(Text) country,0.1465247797956801
disbert,wine,ensemble_50,(Text) description,0.6223261613826441
disbert,wine,ensemble_50,(Text) province,0.40489641189226
disbert,wine,ensemble_75,(Tab) points,0.0628109117176133
disbert,wine,ensemble_75,(Tab) price,0.10547295169248297
disbert,wine,ensemble_75,(Text) country,0.21978716969352013
disbert,wine,ensemble_75,(Text) description,0.9334892420739667
disbert,wine,ensemble_75,(Text) province,0.6073446178383899
disbert,wine,stack,(Tab) points,0.28680639731517066
disbert,wine,stack,(Tab) price,0.3988608803236027
disbert,wine,stack,(Text) country,0.34260198279439874
disbert,wine,stack,(Text) description,1.588069956020211
disbert,wine,stack,(Text) province,0.896630370038838
disbert,wine,all_text,(Tab) points,0.013949309502015797
disbert,wine,all_text,(Tab) price,0.1092223786693286
disbert,wine,all_text,(Text) country,0.3314661091369726
disbert,wine,all_text,(Text) description,1.2174984047840665
disbert,wine,all_text,(Text) province,0.8814955590114508
disbert,wine,all_text_baseline,(Tab) points,0.027808543758860944
disbert,wine,all_text_baseline,(Tab) price,0.11477260027577937
disbert,wine,all_text_baseline,(Text) country,0.20675475221189601
disbert,wine,all_text_baseline,(Text) description,1.2829672458272707
disbert,wine,all_text_baseline,(Text) province,0.751818681522556
disbert,fake,ensemble_25,(Tab) required_experience,0.03867782685846365
disbert,fake,ensemble_25,(Tab) required_education,0.1095966188504947
disbert,fake,ensemble_25,(Text) title,0.15570320332916704
disbert,fake,ensemble_25,(Text) description,0.29428721559815124
disbert,fake,ensemble_25,(Text) salary_range,0.005699413704569456
disbert,fake,ensemble_50,(Tab) required_experience,0.02578521790564261
disbert,fake,ensemble_50,(Tab) required_education,0.07306441256699643
disbert,fake,ensemble_50,(Text) title,0.3114064066583342
disbert,fake,ensemble_50,(Text) description,0.5885744311963027
disbert,fake,ensemble_50,(Text) salary_range,0.011398827409138897
disbert,fake,ensemble_75,(Tab) required_experience,0.012624735358787569
disbert,fake,ensemble_75,(Tab) required_education,0.03626433268946487
disbert,fake,ensemble_75,(Text) title,0.46710960998750095
disbert,fake,ensemble_75,(Text) description,0.8828616467944537
disbert,fake,ensemble_75,(Text) salary_range,0.01709824111370835
disbert,fake,stack,(Tab) required_experience,0.14250144563160144
disbert,fake,stack,(Tab) required_education,0.1452375925634267
disbert,fake,stack,(Text) title,0.11901617426805008
disbert,fake,stack,(Text) description,0.4667833641537756
disbert,fake,stack,(Text) salary_range,0.009476339274661717
disbert,fake,all_text,(Tab) required_experience,0.07808890045078294
disbert,fake,all_text,(Tab) required_education,0.10301706566709042
disbert,fake,all_text,(Text) title,0.421079091524904
disbert,fake,all_text,(Text) description,0.9364033992016532
disbert,fake,all_text,(Text) salary_range,0.04754016215741576
disbert,fake,all_text_baseline,(Tab) required_experience,0.012392371488728486
disbert,fake,all_text_baseline,(Tab) required_education,0.03396686169624497
disbert,fake,all_text_baseline,(Text) title,0.060018907050461895
disbert,fake,all_text_baseline,(Text) description,0.7667132883900275
disbert,fake,all_text_baseline,(Text) salary_range,0.010187786076238749
disbert,imdb_genre,ensemble_25,(Tab) Year,0.03282784702366623
disbert,imdb_genre,ensemble_25,(Tab) Runtime (Minutes),0.15127076039628798
disbert,imdb_genre,ensemble_25,(Tab) Rating,0.19207152332849567
disbert,imdb_genre,ensemble_25,(Tab) Votes,0.1784341254383236
disbert,imdb_genre,ensemble_25,(Tab) Revenue (Millions),0.15812525330833563
disbert,imdb_genre,ensemble_25,(Tab) Metascore,0.06792338618082124
disbert,imdb_genre,ensemble_25,(Tab) Rank,0.07035087289939822
disbert,imdb_genre,ensemble_25,(Text) Description,0.12408134082332253
disbert,imdb_genre,ensemble_50,(Tab) Year,0.02188523134911089
disbert,imdb_genre,ensemble_50,(Tab) Runtime (Minutes),0.09700768946096144
disbert,imdb_genre,ensemble_50,(Tab) Rating,0.12633309483771812
disbert,imdb_genre,ensemble_50,(Tab) Votes,0.1110090534218139
disbert,imdb_genre,ensemble_50,(Tab) Revenue (Millions),0.10288839608166331
disbert,imdb_genre,ensemble_50,(Tab) Metascore,0.04315259888202259
disbert,imdb_genre,ensemble_50,(Tab) Rank,0.04690058193293213
disbert,imdb_genre,ensemble_50,(Text) Description,0.2481626816466451
disbert,imdb_genre,ensemble_75,(Tab) Year,0.010918235595534447
disbert,imdb_genre,ensemble_75,(Tab) Runtime (Minutes),0.04275625583957796
disbert,imdb_genre,ensemble_75,(Tab) Rating,0.0597220930705178
disbert,imdb_genre,ensemble_75,(Tab) Votes,0.04681002042560859
disbert,imdb_genre,ensemble_75,(Tab) Revenue (Millions),0.048115411865437815
disbert,imdb_genre,ensemble_75,(Tab) Metascore,0.01994441250446434
disbert,imdb_genre,ensemble_75,(Tab) Rank,0.023299798562485288
disbert,imdb_genre,ensemble_75,(Text) Description,0.37224402246996763
disbert,imdb_genre,stack,(Tab) Year,0.03554120185879619
disbert,imdb_genre,stack,(Tab) Runtime (Minutes),0.25780033264708907
disbert,imdb_genre,stack,(Tab) Rating,0.23489276931641373
disbert,imdb_genre,stack,(Tab) Votes,0.11714676918528082
disbert,imdb_genre,stack,(Tab) Revenue (Millions),0.23507951565985435
disbert,imdb_genre,stack,(Tab) Metascore,0.09372271646947322
disbert,imdb_genre,stack,(Tab) Rank,0.15217737275060977
disbert,imdb_genre,stack,(Text) Description,0.08940367778237172
disbert,imdb_genre,all_text,(Tab) Year,0.0018582652426723917
disbert,imdb_genre,all_text,(Tab) Runtime (Minutes),0.0020651716481752337
disbert,imdb_genre,all_text,(Tab) Rating,0.0016422187311397412
disbert,imdb_genre,all_text,(Tab) Votes,0.0036979874136870996
disbert,imdb_genre,all_text,(Tab) Revenue (Millions),0.00331106842638437
disbert,imdb_genre,all_text,(Tab) Metascore,0.0016914978492827634
disbert,imdb_genre,all_text,(Tab) Rank,0.0035638699083810755
disbert,imdb_genre,all_text,(Text) Description,0.46864698950909056
disbert,imdb_genre,all_text_baseline,(Tab) Year,0.00887099002554611
disbert,imdb_genre,all_text_baseline,(Tab) Runtime (Minutes),0.02005316163697319
disbert,imdb_genre,all_text_baseline,(Tab) Rating,0.017154667911474148
disbert,imdb_genre,all_text_baseline,(Tab) Votes,0.01602410971410959
disbert,imdb_genre,all_text_baseline,(Tab) Revenue (Millions),0.018268942070344744
disbert,imdb_genre,all_text_baseline,(Tab) Metascore,0.02009634072428588
disbert,imdb_genre,all_text_baseline,(Tab) Rank,0.017544149430348467
disbert,imdb_genre,all_text_baseline,(Text) Description,0.3558995640598595
disbert,channel,ensemble_25,(Tab)  n_tokens_content,0.08853891033237404
disbert,channel,ensemble_25,(Tab)  n_unique_tokens,0.19019466206453306
disbert,channel,ensemble_25,(Tab)  n_non_stop_words,0.15821107671207651
disbert,channel,ensemble_25,(Tab)  n_non_stop_unique_tokens,0.09131285970521741
disbert,channel,ensemble_25,(Tab)  num_hrefs,0.08828322548506509
disbert,channel,ensemble_25,(Tab)  num_self_hrefs,0.1263779231019239
disbert,channel,ensemble_25,(Tab)  num_imgs,0.11242735400218905
disbert,channel,ensemble_25,(Tab)  num_videos,0.10848528770041975
disbert,channel,ensemble_25,(Tab)  average_token_length,0.1473421639707015
disbert,channel,ensemble_25,(Tab)  num_keywords,0.12742118439837347
disbert,channel,ensemble_25,(Tab)  global_subjectivity,0.06997917309332845
disbert,channel,ensemble_25,(Tab)  global_sentiment_polarity,0.07313806544487061
disbert,channel,ensemble_25,(Tab)  global_rate_positive_words,0.09525265165067273
disbert,channel,ensemble_25,(Tab)  global_rate_negative_words,0.04868640642324645
disbert,channel,ensemble_25,(Tab)  rate_positive_words,0.028557713587718046
disbert,channel,ensemble_25,(Tab)  rate_negative_words,0.014187750910177113
disbert,channel,ensemble_25,(Text) article_title,0.08320276899728926
disbert,channel,ensemble_50,(Tab)  n_tokens_content,0.05583462775090342
disbert,channel,ensemble_50,(Tab)  n_unique_tokens,0.12589182940636026
disbert,channel,ensemble_50,(Tab)  n_non_stop_words,0.1054905907702215
disbert,channel,ensemble_50,(Tab)  n_non_stop_unique_tokens,0.05994363145708181
disbert,channel,ensemble_50,(Tab)  num_hrefs,0.05617921926319824
disbert,channel,ensemble_50,(Tab)  num_self_hrefs,0.08100390183843263
disbert,channel,ensemble_50,(Tab)  num_imgs,0.07494034653003488
disbert,channel,ensemble_50,(Tab)  num_videos,0.07232352513361318
disbert,channel,ensemble_50,(Tab)  average_token_length,0.09820432731878811
disbert,channel,ensemble_50,(Tab)  num_keywords,0.08494745626558226
disbert,channel,ensemble_50,(Tab)  global_subjectivity,0.04650157179506187
disbert,channel,ensemble_50,(Tab)  global_sentiment_polarity,0.04516250348138989
disbert,channel,ensemble_50,(Tab)  global_rate_positive_words,0.06297766488248717
disbert,channel,ensemble_50,(Tab)  global_rate_negative_words,0.030673683764911672
disbert,channel,ensemble_50,(Tab)  rate_positive_words,0.02031467250545785
disbert,channel,ensemble_50,(Tab)  rate_negative_words,0.009928135949906606
disbert,channel,ensemble_50,(Text) article_title,0.16640553799457847
disbert,channel,ensemble_75,(Tab)  n_tokens_content,0.025694677285789815
disbert,channel,ensemble_75,(Tab)  n_unique_tokens,0.062069448686546284
disbert,channel,ensemble_75,(Tab)  n_non_stop_words,0.052378674426407444
disbert,channel,ensemble_75,(Tab)  n_non_stop_unique_tokens,0.028969618559628495
disbert,channel,ensemble_75,(Tab)  num_hrefs,0.026480965826730162
disbert,channel,ensemble_75,(Tab)  num_self_hrefs,0.037832450168926085
disbert,channel,ensemble_75,(Tab)  num_imgs,0.037377022565278015
disbert,channel,ensemble_75,(Tab)  num_videos,0.036164703227486196
disbert,channel,ensemble_75,(Tab)  average_token_length,0.04864377883387487
disbert,channel,ensemble_75,(Tab)  num_keywords,0.04246774118337215
disbert,channel,ensemble_75,(Tab)  global_subjectivity,0.023217831865088905
disbert,channel,ensemble_75,(Tab)  global_sentiment_polarity,0.020498942330468655
disbert,channel,ensemble_75,(Tab)  global_rate_positive_words,0.030840235130735413
